,0
0,226
1,116
2,633
3,240
4,196
5,216
6,430
7,231
8,119
9,974
10,692
11,426
12,1104
13,958
14,847
15,993
16,790
17,82
18,937
19,384
20,914
21,807
22,1128
23,798
24,842
25,111
26,892
27,836
28,1027
29,262
30,1019
31,1039
32,859
33,264
34,1068
35,547
36,577
37,229
38,638
39,1065
40,950
41,26
42,1103
43,687
44,489
45,123
46,735
47,1138
48,659
49,22
50,826
51,339
52,898
53,591
54,802
55,102
56,934
57,674
58,622
59,9
60,927
61,397
62,252
63,1169
64,312
65,1074
66,30
67,710
68,713
69,372
70,161
71,250
72,755
73,300
74,169
75,449
76,590
77,728
78,1155
79,548
80,647
81,155
82,1134
83,819
84,313
85,515
86,187
87,279
88,767
89,365
90,575
91,762
92,849
93,585
94,171
95,211
96,344
97,90
98,181
99,631
100,465
101,158
102,407
103,813
104,355
105,1106
106,398
107,837
108,843
109,841
110,326
111,299
112,480
113,527
114,637
115,969
116,769
117,988
118,861
119,643
120,551
121,834
122,835
123,23
124,504
125,833
126,632
127,641
128,930
129,464
130,866
131,436
132,122
133,1058
134,411
135,506
136,661
137,838
138,437
139,1151
140,85
141,36
142,614
143,140
144,684
145,383
146,457
147,54
148,502
149,1158
150,467
151,561
152,573
153,1142
154,823
155,794
156,33
157,271
158,946
159,494
160,1115
161,940
162,1111
163,511
164,670
165,91
166,469
167,139
168,818
169,482
170,354
171,466
172,955
173,964
174,640
175,38
176,966
177,518
178,924
179,761
180,1087
181,1166
182,831
183,1002
184,723
185,775
186,255
187,150
188,943
189,445
190,485
191,192
192,88
193,1047
194,356
195,144
196,979
197,1083
198,779
199,454
200,270
201,669
202,753
203,926
204,944
205,284
206,162
207,523
208,1110
209,528
210,141
211,498
212,403
213,78
214,939
215,895
216,202
217,963
218,616
219,128
220,646
221,41
222,178
223,433
224,166
225,125
226,855
227,741
228,623
229,376
230,730
231,1132
232,611
233,503
234,331
235,474
236,237
237,168
238,722
239,135
240,618
241,976
242,696
243,288
244,579
245,228
246,1101
247,851
248,1035
249,25
250,507
251,52
252,378
253,660
254,220
255,1108
256,796
257,648
258,58
259,323
260,1175
261,909
262,517
263,197
264,207
265,799
266,1152
267,427
268,1034
269,576
270,473
271,1059
272,100
273,29
274,1041
275,621
276,322
277,662
278,477
279,97
280,110
281,1179
282,981
283,225
284,505
285,1162
286,160
287,27
